No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted
32,Reed Blankenship,23,S,10,4,196,73,Middle Tenn. St.,3/2/1999,Rook,2,
19,Ian Book,24,QB,0,0,206,73,Notre Dame,3/30/1998,1,,New Orleans Saints / 4th / 133rd pick / 2021
24,James Bradberry,29,CB,17,17,212,73,"Arkansas St.,Samford",8/4/1993,6,11,Carolina Panthers / 2nd / 62nd pick / 2016
11,A.J. Brown,25,WR,17,16,226,73,Mississippi,6/30/1997,3,16,Tennessee Titans / 2nd / 51st pick / 2019
47,Grant Calcaterra,24,TE,15,2,247,77,"Oklahoma,SMU",12/4/1998,Rook,1,Philadelphia Eagles / 6th / 198th pick / 2022
18,Britain Covey,25,WR,17,0,173,68,Utah,3/18/1997,Rook,0,
91,Fletcher Cox,32,DT,17,17,310,76,Mississippi St.,12/13/1990,10,8,Philadelphia Eagles / 1st / 12th pick / 2012
90,Jordan Davis,22,DT,13,5,340,78,Georgia,1/12/2000,Rook,3,Philadelphia Eagles / 1st / 13th pick / 2022
17,Nakobe Dean,22,LB,17,0,225,73,Georgia,12/13/2000,Rook,1,Philadelphia Eagles / 3rd / 83rd pick / 2022
69,Landon Dickerson,24,G,17,17,333,78,"Florida St.,Alabama",9/30/1998,1,10,Philadelphia Eagles / 2nd / 37th pick / 2021
77,Andre Dillard,27,T,12,0,315,77,Washington St.,10/3/1995,3,1,Philadelphia Eagles / 1st / 22nd pick / 2019
63,Jack Driscoll,25,OL,17,3,296,77,"Massachusetts,Auburn",4/1/1997,2,3,Philadelphia Eagles / 4th / 145th pick / 2020
57,T.J. Edwards,26,LB,17,17,242,73,Wisconsin,8/12/1996,3,8,
4,Jake Elliott,27,K,16,0,167,69,Memphis,1/21/1995,5,3,Cincinnati Bengals / 5th / 153rd pick / 2017
53,Christian Elliss,23,LB,6,0,233,75,Idaho,1/2/1999,1,0,
22,Marcus Epps,26,S,17,17,198,73,Wyoming,1/27/1996,3,5,Minnesota Vikings / 6th / 191st pick / 2019
14,Kenneth Gainwell,23,RB,17,0,200,69,Memphis,3/14/1999,1,4,Philadelphia Eagles / 5th / 150th pick / 2021
23,C.J. Gardner-Johnson,25,S,12,12,210,71,Florida,12/20/1997,3,5,New Orleans Saints / 4th / 105th pick / 2019
88,Dallas Goedert,27,TE,12,12,256,77,South Dakota St.,1/3/1995,4,7,Philadelphia Eagles / 2nd / 49th pick / 2018
55,Brandon Graham,34,DE,17,1,265,74,Michigan,4/3/1988,12,2,Philadelphia Eagles / 1st / 13th pick / 2010
97,Javon Hargrave,29,DT,17,17,305,74,South Carolina St.,2/7/1993,6,9,Pittsburgh Steelers / 3rd / 89th pick / 2016
28,Anthony Harris,31,S,0,0,202,73,Virginia,10/9/1991,7,,
1,Jalen Hurts,24,QB,15,15,223,73,"Alabama,Oklahoma",8/7/1998,2,20,Philadelphia Eagles / 2nd / 53rd pick / 2020
28,Josh Jobe,24,CB,11,0,192,71,Alabama,4/9/1998,Rook,1,
58,Kyron Johnson,24,LB,16,0,223,73,Kansas,7/24/1998,Rook,1,Philadelphia Eagles / 6th / 181st pick / 2022
65,Lane Johnson,32,T,15,15,325,78,Oklahoma,5/8/1990,9,15,Philadelphia Eagles / 1st / 4th pick / 2013
48,Patrick Johnson,24,LB,16,0,248,74,Tulane,1/10/1998,1,1,Philadelphia Eagles / 7th / 234th pick / 2021
72,Linval Joseph,34,DT,8,8,329,76,East Carolina,10/10/1988,12,3,New York Giants / 2nd / 46th pick / 2010
51,Cam Jurgens,23,OL,17,0,290,75,Nebraska,8/21/1999,Rook,1,Philadelphia Eagles / 2nd / 51st pick / 2022
62,Jason Kelce,35,C,17,17,295,75,Cincinnati,11/5/1987,11,14,Philadelphia Eagles / 6th / 191st pick / 2011
13,Brett Kern,36,P,4,0,214,74,Toledo,2/17/1986,14,0,
45,Rick Lovato,30,LS,17,0,249,74,Old Dominion,9/9/1992,7,1,
29,Avonte Maddox,26,CB,9,8,184,69,Pittsburgh,3/31/1996,4,3,Philadelphia Eagles / 4th / 125th pick / 2018
68,Jordan Mailata,25,T,16,16,365,80,None,3/31/1997,4,9,Philadelphia Eagles / 7th / 233rd pick / 2018
27,Zech McPhearson,24,CB,17,0,191,71,Texas Tech,3/21/1998,1,1,Philadelphia Eagles / 4th / 123rd pick / 2021
10,Gardner Minshew II,26,QB,5,2,225,73,"Northwest Mississippi CC,East Carolina,Washington St.",5/16/1996,3,2,Jacksonville Jaguars / 6th / 178th pick / 2019
3,Zach Pascal,28,WR,17,2,214,74,Old Dominion,12/18/1994,4,2,
98,Robert Quinn,32,DE,6,0,245,76,North Carolina,5/18/1990,11,0,St. Louis Rams / 1st / 14th pick / 2011
7,Haason Reddick,28,LB,17,17,235,73,Temple,9/22/1994,5,15,Arizona Cardinals / 1st / 13th pick / 2017
26,Miles Sanders,25,RB,17,15,211,71,Penn St.,5/1/1997,3,10,Philadelphia Eagles / 2nd / 53rd pick / 2019
35,Boston Scott,27,RB,15,2,203,66,Louisiana Tech,4/27/1995,4,2,New Orleans Saints / 6th / 201st pick / 2018
33,Josiah Scott,23,CB,16,4,175,70,Michigan St.,4/5/1999,2,2,Jacksonville Jaguars / 4th / 137th pick / 2020
34,Trey Sermon,23,RB,2,0,215,73,"Oklahoma,Ohio St.",1/30/1999,1,0,San Francisco 49ers / 3rd / 88th pick / 2021
56,Isaac Seumalo,29,G,17,17,303,76,Oregon St.,10/29/1993,6,8,Philadelphia Eagles / 3rd / 79th pick / 2016
61,Josh Sills,24,G,1,0,325,78,"West Virginia,Oklahoma St.",1/26/1998,Rook,0,
2,Darius Slay,31,CB,17,17,190,73,Mississippi St.,1/1/1991,9,8,Detroit Lions / 2nd / 36th pick / 2013
6,DeVonta Smith,24,WR,17,17,170,73,Alabama,11/14/1998,1,13,Philadelphia Eagles / 1st / 10th pick / 2021
89,Jack Stoll,24,TE,17,11,247,76,Nebraska,1/28/1998,1,1,
74,Ndamukong Suh,35,DT,8,0,313,76,Nebraska,1/6/1987,12,1,Detroit Lions / 1st / 2nd pick / 2010
94,Josh Sweat,25,DE,16,16,265,77,Florida St.,3/29/1997,4,8,Philadelphia Eagles / 4th / 130th pick / 2018
42,K'Von Wallace,25,S,17,1,205,71,Clemson,7/25/1997,2,1,Philadelphia Eagles / 4th / 127th pick / 2020
16,Quez Watkins,24,WR,17,8,193,73,Southern Miss,6/9/1998,2,4,Philadelphia Eagles / 6th / 200th pick / 2020
43,Kyzir White,26,LB,17,8,216,74,West Virginia,3/24/1996,4,4,Los Angeles Chargers / 4th / 119th pick / 2018
93,Milton Williams,23,DT,17,0,290,75,Louisiana Tech,4/6/1999,1,1,Philadelphia Eagles / 3rd / 73rd pick / 2021
64,Brett Toth (IRD),26,OL,0,0,304,78,Army,9/1/1996,2,,
96,Derek Barnett (IR),26,DE,1,0,259,75,Tennessee,6/25/1996,5,0,Philadelphia Eagles / 1st / 14th pick / 2017
54,Shaun Bradley (IR),25,LB,15,0,240,73,Temple,4/8/1997,2,1,Philadelphia Eagles / 6th / 196th pick / 2020
80,Tyree Jackson (IR),25,TE,5,0,249,79,Buffalo,11/7/1997,1,0,
59,Janarius Robinson (IR),23,DE,0,0,260,77,Florida St.,5/5/1999,Rook,,Minnesota Vikings / 4th / 134th pick / 2021
8,Arryn Siposs (IR),30,P,13,0,212,74,Auburn,11/25/1992,1,1,
95,Marlon Tuipulotu (IR),23,DT,9,1,307,74,USC,5/31/1999,1,1,Philadelphia Eagles / 6th / 189th pick / 2021
