congress,state_abbrev,district_code,chamber,party_code,bioname,born,ideology_score,votes_cast
117,AL,7,House,100,"SEWELL, Terri",1965,-0.393,713
117,AZ,3,House,100,"GRIJALVA, Raúl M.",1948,-0.598,716
117,AZ,2,House,100,"KIRKPATRICK, Ann",1950,-0.169,723
117,AZ,7,House,100,"GALLEGO, Ruben",1979,-0.45,721
117,AZ,1,House,100,"O'HALLERAN, Thomas C.",1946,-0.197,718
117,AZ,9,House,100,"STANTON, Greg",1970,-0.287,725
117,CA,12,House,100,"PELOSI, Nancy",1940,-0.49,106
117,CA,28,House,100,"SCHIFF, Adam",1960,-0.35,725
117,CA,38,House,100,"SÁNCHEZ, Linda T.",1969,-0.507,719
117,CA,16,House,100,"COSTA, Jim",1952,-0.193,706
117,CA,6,House,100,"MATSUI, Doris",1944,-0.434,715
117,CA,9,House,100,"McNERNEY, Jerry",1951,-0.263,723
117,CA,14,House,100,"SPEIER, Karen Lorraine Jacqueline (Jackie)",1950,-0.381,684
117,CA,27,House,100,"CHU, Judy",1953,-0.488,723
117,CA,3,House,100,"GARAMENDI, John",1945,-0.309,718
117,CA,37,House,100,"BASS, Karen",1953,-0.584,709
117,CA,2,House,100,"HUFFMAN, Jared",1964,-0.43,719
117,CA,7,House,100,"BERA, Ami",1965,-0.235,704
117,CA,15,House,100,"SWALWELL, Eric",1980,-0.366,720
117,CA,26,House,100,"BROWNLEY, Julia",1952,-0.288,718
117,CA,29,House,100,"CÁRDENAS, Tony",1963,-0.385,714
117,CA,36,House,100,"RUIZ, Raul",1972,-0.246,724
117,CA,41,House,100,"TAKANO, Mark",1960,-0.463,717
117,CA,47,House,100,"LOWENTHAL, Alan",1941,-0.449,720
117,CA,51,House,100,"VARGAS, Juan",1961,-0.402,717
117,CA,52,House,100,"PETERS, Scott",1958,-0.183,716
117,CA,11,House,100,"DESAULNIER, Mark James",1952,-0.53,721
117,CA,31,House,100,"AGUILAR, Peter Rey",1979,-0.296,723
117,CA,33,House,100,"LIEU, Ted",1969,-0.375,719
117,CA,35,House,100,"TORRES, Norma Judith",1965,-0.366,714
117,CA,44,House,100,"BARRAGÁN, Nanette Diaz",1976,-0.515,716
117,CA,24,House,100,"CARBAJAL, Salud",1964,-0.298,725
117,CA,46,House,100,"CORREA, Jose Luis",1958,-0.287,723
117,CA,17,House,100,"KHANNA, Rohit",1976,-0.543,721
117,CA,20,House,100,"PANETTA, James Varni",1969,-0.299,725
117,CA,34,House,100,"GOMEZ, Jimmy",1974,-0.572,720
117,CA,10,House,100,"HARDER, Josh",1986,-0.385,722
117,CA,49,House,100,"LEVIN, Mike",1978,-0.376,725
117,CA,45,House,100,"PORTER, Katie",1974,-0.19,723
117,CA,53,House,100,"JACOBS, Sara",1989,-0.325,713
117,CA,43,House,100,"WATERS, Maxine",1938,-0.656,706
117,CA,18,House,100,"ESHOO, Anna Georges",1942,-0.381,719
117,CA,40,House,100,"ROYBAL-ALLARD, Lucille",1941,-0.469,721
117,CA,19,House,100,"LOFGREN, Zoe",1947,-0.401,715
117,CA,30,House,100,"SHERMAN, Brad",1954,-0.343,722
117,CA,13,House,100,"LEE, Barbara",1946,-0.681,717
117,CA,5,House,100,"THOMPSON, Michael",1951,-0.395,723
117,CA,32,House,100,"NAPOLITANO, Grace Flores",1936,-0.448,724
117,CO,7,House,100,"PERLMUTTER, Ed",1953,-0.282,725
117,CO,6,House,100,"CROW, Jason",1979,-0.278,722
117,CO,2,House,100,"NEGUSE, Joseph",1984,-0.375,724
117,CO,1,House,100,"DeGETTE, Diana",1957,-0.431,721
117,CT,2,House,100,"COURTNEY, Joe",1953,-0.343,725
117,CT,4,House,100,"HIMES, James A.",1966,-0.241,722
117,CT,5,House,100,"HAYES, Jahana",1973,-0.368,725
117,CT,3,House,100,"DeLAURO, Rosa L.",1943,-0.415,720
117,CT,1,House,100,"LARSON, John B.",1948,-0.397,716
117,DE,1,House,100,"BLUNT ROCHESTER, Lisa",1962,-0.335,724
117,DC,0,House,100,"NORTON, Eleanor Holmes",1937,-0.498,11
117,FL,23,House,100,"WASSERMAN SCHULTZ, Debbie",1966,-0.42,724
117,FL,14,House,100,"CASTOR, Kathy",1966,-0.439,715
117,FL,22,House,100,"DEUTCH, Theodore E. (Ted)",1966,-0.401,686
117,FL,24,House,100,"WILSON, Frederica",1942,-0.479,718
117,FL,21,House,100,"FRANKEL, Lois",1948,-0.401,717
117,FL,13,House,100,"CRIST, Charlie Joseph Jr.",1956,-0.227,722
117,FL,10,House,100,"DEMINGS, Valdez Butler",1957,-0.322,724
117,FL,5,House,100,"LAWSON, Alfred Jr.",1948,-0.26,722
117,FL,7,House,100,"MURPHY, Stephanie",1978,-0.161,676
117,FL,9,House,100,"SOTO, Darren Michael",1978,-0.374,723
117,FL,20,House,100,"CHERFILUS-MCCORMICK, Sheila",1979,-0.629,334
117,FL,20,House,100,"HASTINGS, Alcee Lamar",1936,-0.564,84
117,GA,13,House,100,"SCOTT, David",1945,-0.302,716
117,GA,4,House,100,"JOHNSON, Hank",1954,-0.468,708
117,GA,6,House,100,"McBATH, Lucy",1960,-0.264,724
117,GA,7,House,100,"BOURDEAUX, Carolyn",1970,-0.301,725
117,GA,5,House,100,"WILLIAMS, Nikema",1978,-0.385,724
117,GA,2,House,100,"BISHOP, Sanford Dixon, Jr.",1947,-0.283,718
117,GU,0,House,100,"SAN NICOLAS, Michael",1981,-0.41,11
117,HI,1,House,100,"CASE, Ed",1952,-0.196,717
117,HI,2,House,100,"KAHELE, Kaialiʻi",1974,-0.352,720
117,IL,11,House,100,"FOSTER, Bill",1955,-0.23,723
117,IL,5,House,100,"QUIGLEY, Mike",1958,-0.322,724
117,IL,10,House,100,"SCHNEIDER, Brad",1961,-0.181,722
117,IL,17,House,100,"BUSTOS, Cheri",1961,-0.239,694
117,IL,2,House,100,"KELLY, Robin L.",1956,-0.462,722
117,IL,8,House,100,"KRISHNAMOORTHI, S. Raja",1973,-0.317,724
117,IL,6,House,100,"CASTEN, Sean",1971,-0.657,702
117,IL,4,House,100,"GARCÍA, Jesús",1956,-0.448,720
117,IL,14,House,100,"UNDERWOOD, Lauren",1986,-0.523,724
117,IL,3,House,100,"NEWMAN, Marie",1964,-0.591,722
117,IL,1,House,100,"RUSH, Bobby L.",1946,-0.479,724
117,IL,7,House,100,"DAVIS, Danny K.",1941,-0.486,712
117,IL,9,House,100,"SCHAKOWSKY, Janice D.",1944,-0.604,716
117,IN,7,House,100,"CARSON, André",1974,-0.429,723
117,IN,1,House,100,"MRVAN, Frank J.",1969,-0.298,722
117,IA,3,House,100,"AXNE, Cynthia",1965,-0.249,724
117,KS,3,House,100,"DAVIDS, Sharice",1980,-0.26,724
117,KY,3,House,100,"YARMUTH, John",1947,-0.378,665
117,LA,2,House,100,"RICHMOND, Cedric",1973,-0.486,14
117,LA,2,House,100,"CARTER, Troy",1963,-0.38,605
117,ME,1,House,100,"PINGREE, Chellie",1955,-0.42,723
117,ME,2,House,100,"GOLDEN, Jared",1982,-0.114,700
117,MD,5,House,100,"HOYER, Steny Hamilton",1939,-0.38,708
117,MD,7,House,100,"MFUME, Kweisi",1948,-0.447,708
117,MD,2,House,100,"RUPPERSBERGER, C. A. (Dutch)",1946,-0.295,716
117,MD,3,House,100,"SARBANES, John",1962,-0.467,722
117,MD,4,House,100,"BROWN, Anthony Gregory",1961,-0.344,713
117,MD,8,House,100,"RASKIN, Jamie Ben",1962,-0.535,715
117,MD,6,House,100,"TRONE, David",1955,-0.279,720
117,MA,1,House,100,"NEAL, Richard Edmund",1949,-0.417,719
117,MA,8,House,100,"LYNCH, Stephen F.",1955,-0.349,721
117,MA,9,House,100,"KEATING, William R.",1952,-0.33,708
117,MA,5,House,100,"CLARK, Katherine M.",1963,-0.483,721
117,MA,6,House,100,"MOULTON, Seth",1978,-0.282,723
117,MA,7,House,100,"PRESSLEY, Ayanna",1974,-0.328,722
117,MA,3,House,100,"TRAHAN, Lori",1973,-0.466,724
117,MA,4,House,100,"AUCHINCLOSS, Jake",1988,-0.315,722
117,MA,2,House,100,"McGOVERN, James P.",1959,-0.539,718
117,MI,5,House,100,"KILDEE, Dan",1958,-0.389,725
117,MI,12,House,100,"DINGELL, Debbie",1953,-0.406,720
117,MI,14,House,100,"LAWRENCE, Brenda L",1954,-0.448,723
117,MI,9,House,100,"LEVIN, Andy",1960,-0.476,724
117,MI,8,House,100,"SLOTKIN, Elissa",1976,-0.32,696
117,MI,11,House,100,"STEVENS, Haley",1983,-0.346,725
117,MI,13,House,100,"TLAIB, Rashida",1976,-0.262,716
117,MN,4,House,100,"McCOLLUM, Betty",1954,-0.417,720
117,MN,2,House,100,"CRAIG, Angela",1972,-0.296,723
117,MN,5,House,100,"OMAR, Ilhan",1982,-0.284,718
117,MN,3,House,100,"PHILLIPS, Dean",1969,-0.274,722
117,MS,2,House,100,"THOMPSON, Bennie",1948,-0.516,724
117,MO,5,House,100,"CLEAVER, Emanuel, II",1944,-0.453,721
117,MO,1,House,100,"BUSH, Cori",1976,-0.247,719
117,NV,1,House,100,"TITUS, Alice (Dina)",1950,-0.304,719
117,NV,4,House,100,"HORSFORD, Steven",1973,-0.35,717
117,NV,3,House,100,"LEE, Susie",1966,-0.286,720
117,NH,2,House,100,"KUSTER, Ann McLane",1956,-0.258,723
117,NH,1,House,100,"PAPPAS, Chris",1980,-0.277,723
117,NJ,6,House,100,"PALLONE, Frank, Jr.",1951,-0.404,724
117,NJ,8,House,100,"SIRES, Albio",1951,-0.405,718
117,NJ,1,House,100,"NORCROSS, Donald",1958,-0.426,710
117,NJ,12,House,100,"WATSON COLEMAN, Bonnie",1945,-0.617,725
117,NJ,5,House,100,"GOTTHEIMER, Josh S.",1975,-0.15,719
117,NJ,3,House,100,"KIM, Andy",1982,-0.301,725
117,NJ,7,House,100,"MALINOWSKI, Tomaz",1965,-0.271,720
117,NJ,11,House,100,"SHERRILL, Mikie",1972,-0.206,704
117,NJ,9,House,100,"PASCRELL, William J., Jr.",1937,-0.367,713
117,NJ,10,House,100,"PAYNE, Donald, Jr.",1958,-0.52,723
117,NM,1,House,100,"HAALAND, Debra",1960,-0.332,71
117,NM,3,House,100,"LEGER FERNANDEZ, Teresa",1959,-0.389,721
117,NM,1,House,100,"STANSBURY, Melanie Ann",1979,-0.459,580
117,NY,26,House,100,"HIGGINS, Brian",1959,-0.348,719
117,NY,9,House,100,"CLARKE, Yvette Diane",1964,-0.612,714
117,NY,20,House,100,"TONKO, Paul",1949,-0.421,722
117,NY,6,House,100,"MENG, Grace",1975,-0.378,721
117,NY,8,House,100,"JEFFRIES, Hakeem",1970,-0.488,722
117,NY,18,House,100,"MALONEY, Sean Patrick",1966,-0.239,719
117,NY,4,House,100,"RICE, Kathleen Maura",1965,-0.28,709
117,NY,13,House,100,"ESPAILLAT, Adriano J.",1954,-0.614,723
117,NY,3,House,100,"SUOZZI, Thomas",1962,-0.219,717
117,NY,25,House,100,"MORELLE, Joseph D.",1957,-0.357,722
117,NY,19,House,100,"DELGADO, Antonio",1977,-0.233,549
117,NY,14,House,100,"OCASIO-CORTEZ, Alexandria",1989,-0.258,715
117,NY,16,House,100,"BOWMAN, Jamaal",1976,-0.335,716
117,NY,17,House,100,"JONES, Mondaire",1987,-0.409,720
117,NY,15,House,100,"TORRES, Ritchie",1988,-0.546,719
117,NY,10,House,100,"NADLER, Jerrold Lewis",1947,-0.508,711
117,NY,7,House,100,"VELÁZQUEZ, Nydia M.",1953,-0.547,720
117,NY,12,House,100,"MALONEY, Carolyn Bosher",1946,-0.387,718
117,NY,5,House,100,"MEEKS, Gregory W.",1953,-0.414,713
117,NC,4,House,100,"PRICE, David Eugene",1940,-0.343,701
117,NC,1,House,100,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",1947,-0.404,712
117,NC,12,House,100,"ADAMS, Alma",1946,-0.465,722
117,NC,6,House,100,"MANNING, Kathy E.",1956,-0.274,723
117,NC,2,House,100,"ROSS, Deborah K.",1963,-0.409,724
117,MP,0,House,100,"SABLAN, Gregorio Kilili Camacho",1955,-0.449,11
117,OH,9,House,100,"KAPTUR, Marcia Carolyn (Marcy)",1946,-0.35,716
117,OH,13,House,100,"RYAN, Timothy J.",1973,-0.402,717
117,OH,11,House,100,"FUDGE, Marcia L.",1952,-0.581,54
117,OH,3,House,100,"BEATTY, Joyce",1950,-0.434,722
117,OH,11,House,100,"BROWN, Shontel  M.",1975,-0.468,410
117,OR,4,House,100,"DeFAZIO, Peter Anthony",1947,-0.427,712
117,OR,5,House,100,"SCHRADER, Kurt",1951,-0.182,714
117,OR,1,House,100,"BONAMICI, Suzanne",1954,-0.394,725
117,OR,3,House,100,"BLUMENAUER, Earl",1948,-0.427,716
117,PA,8,House,100,"CARTWRIGHT, Matt",1961,-0.36,708
117,PA,2,House,100,"BOYLE, Brendan Francis",1977,-0.4,721
117,PA,3,House,100,"EVANS, Dwight",1954,-0.465,724
117,PA,17,House,100,"LAMB, Conor",1984,-0.142,723
117,PA,5,House,100,"SCANLON, Mary Gay",1959,-0.45,718
117,PA,7,House,100,"WILD, Susan",1957,-0.275,720
117,PA,4,House,100,"DEAN, Madeleine",1959,-0.463,723
117,PA,6,House,100,"HOULAHAN, Christina",1967,-0.304,722
117,PA,18,House,100,"DOYLE, Michael F.",1953,-0.331,655
117,RI,2,House,100,"LANGEVIN, James",1964,-0.375,723
117,RI,1,House,100,"CICILLINE, David N.",1961,-0.388,719
117,SC,6,House,100,"CLYBURN, James Enos",1940,-0.464,715
117,TN,5,House,100,"COOPER, James Hayes Shofner",1954,-0.164,719
117,TN,9,House,100,"COHEN, Stephen",1949,-0.398,721
117,TX,9,House,100,"GREEN, Al",1947,-0.438,723
117,TX,28,House,100,"CUELLAR, Henry",1955,-0.229,724
117,TX,20,House,100,"CASTRO, Joaquin",1974,-0.401,720
117,TX,33,House,100,"VEASEY, Marc",1971,-0.4,717
117,TX,34,House,100,"VELA, Filemon",1963,-0.311,443
117,TX,15,House,100,"GONZALEZ, Vicente Jr.",1967,-0.379,697
117,TX,32,House,100,"ALLRED, Colin",1983,-0.432,725
117,TX,16,House,100,"ESCOBAR, Veronica",1969,-0.415,721
117,TX,7,House,100,"FLETCHER, Elizabeth",1975,-0.381,723
117,TX,29,House,100,"GARCIA, Sylvia",1950,-0.831,721
117,TX,35,House,100,"DOGGETT, Lloyd Alton, II",1946,-0.402,719
117,TX,18,House,100,"JACKSON LEE, Sheila",1950,-0.46,720
117,TX,30,House,100,"JOHNSON, Eddie Bernice",1935,-0.485,717
117,VT,1,House,100,"WELCH, Peter",1947,-0.407,719
117,VI,0,House,100,"PLASKETT, Stacey E.",1966,-0.347,11
117,VA,11,House,100,"CONNOLLY, Gerald E. (Gerry)",1950,-0.306,723
117,VA,8,House,100,"BEYER, Donald Sternoff Jr.",1950,-0.386,724
117,VA,4,House,100,"MCEACHIN, Aston Donald",1961,-0.381,724
117,VA,2,House,100,"LURIA, Elaine",1975,-0.205,724
117,VA,7,House,100,"SPANBERGER, Abigail",1979,-0.176,718
117,VA,10,House,100,"WEXTON, Jennifer",1968,-0.34,725
117,VA,3,House,100,"SCOTT, Robert C.",1947,-0.45,724
117,WA,2,House,100,"LARSEN, Richard Ray (Rick)",1965,-0.365,712
117,WA,6,House,100,"KILMER, Derek",1974,-0.31,724
117,WA,7,House,100,"JAYAPAL, Pramila",1965,-0.681,722
117,WA,8,House,100,"SCHRIER, Kim",1968,-0.323,723
117,WA,10,House,100,"STRICKLAND, Marilyn",1962,-0.4,709
117,WA,9,House,100,"SMITH, Adam",1965,-0.286,722
117,WA,1,House,100,"DelBENE, Suzan K.",1962,-0.285,725
117,WI,4,House,100,"MOORE, Gwendolynne S. (Gwen)",1951,-0.525,717
117,WI,2,House,100,"POCAN, Mark",1964,-0.535,716
117,WI,3,House,100,"KIND, Ron",1963,-0.26,723
117,AZ,0,Senate,100,"SINEMA, Kyrsten",1976,-0.105,780
117,AZ,0,Senate,100,"KELLY, Mark Edward",1964,-0.178,804
117,CA,0,Senate,100,"HARRIS, Kamala Devi",1964,-0.709,2
117,CA,0,Senate,100,"PADILLA, Alejandro (Alex)",1973,-0.42,803
117,CA,0,Senate,100,"FEINSTEIN, Dianne",1933,-0.268,703
117,CO,0,Senate,100,"BENNET, Michael F.",1964,-0.229,796
117,CO,0,Senate,100,"HICKENLOOPER, John Wright",1952,-0.238,814
117,CT,0,Senate,100,"MURPHY, Christopher",1973,-0.271,806
117,CT,0,Senate,100,"BLUMENTHAL, Richard",1946,-0.436,801
117,DE,0,Senate,100,"CARPER, Thomas Richard",1947,-0.177,814
117,DE,0,Senate,100,"COONS, Christopher A.",1963,-0.23,809
117,GA,0,Senate,100,"OSSOFF, Thomas Jonathan (Jon)",1987,-0.466,776
117,GA,0,Senate,100,"WARNOCK, Raphael Gamaliel",1969,-0.4,795
117,HI,0,Senate,100,"HIRONO, Mazie",1947,-0.511,809
117,HI,0,Senate,100,"SCHATZ, Brian Emanuel",1972,-0.444,803
117,IL,0,Senate,100,"DURBIN, Richard Joseph",1944,-0.348,813
117,IL,0,Senate,100,"DUCKWORTH, Tammy",1968,-0.335,806
117,MD,0,Senate,100,"CARDIN, Benjamin Louis",1943,-0.319,809
117,MD,0,Senate,100,"VAN HOLLEN, Christopher",1959,-0.391,769
117,MA,0,Senate,100,"MARKEY, Edward John",1946,-0.514,803
117,MA,0,Senate,100,"WARREN, Elizabeth",1949,-0.753,809
117,MI,0,Senate,100,"PETERS, Gary C.",1958,-0.246,801
117,MI,0,Senate,100,"STABENOW, Deborah Ann",1950,-0.343,811
117,MN,0,Senate,100,"KLOBUCHAR, Amy",1960,-0.285,804
117,MN,0,Senate,100,"SMITH, Tina",1958,-0.398,806
117,MT,0,Senate,100,"TESTER, Jon",1956,-0.215,813
117,NV,0,Senate,100,"ROSEN, Jacklyn Sheryl",1957,-0.284,796
117,NV,0,Senate,100,"CORTEZ MASTO, Catherine Marie",1964,-0.363,810
117,NH,0,Senate,100,"SHAHEEN, Jeanne",1947,-0.237,772
117,NH,0,Senate,100,"HASSAN, Margaret (Maggie)",1958,-0.231,810
117,NJ,0,Senate,100,"MENENDEZ, Robert",1954,-0.367,790
117,NJ,0,Senate,100,"BOOKER, Cory Anthony",1969,-0.585,793
117,NM,0,Senate,100,"HEINRICH, Martin",1971,-0.33,794
117,NM,0,Senate,100,"LUJÁN, Ben Ray",1972,-0.368,743
117,NY,0,Senate,100,"SCHUMER, Charles Ellis (Chuck)",1950,-0.357,801
117,NY,0,Senate,100,"GILLIBRAND, Kirsten",1966,-0.471,807
117,OH,0,Senate,100,"BROWN, Sherrod",1952,-0.428,808
117,OR,0,Senate,100,"WYDEN, Ronald Lee",1949,-0.33,807
117,OR,0,Senate,100,"MERKLEY, Jeff",1956,-0.443,779
117,PA,0,Senate,100,"CASEY, Robert (Bob), Jr.",1960,-0.314,802
